-,-,-
-999, -145, 146
-1014, -146, 146
-999, -149, 106
-970, -127, 101
-971, -131, 108
-990, -132, 137
-1002, -130, 141
-991, -143, 128
-990, -150, 94
-977, -144, 85
-978, -156, 94
-978, -178, 101
-978, -178, 101
-978, -191, 97
-1001, -208, 111
-1014, -231, 115
-1012, -248, 104
-1000, -238, 85
-1002, -232, 108
-1015, -230, 141
-1011, -222, 143
-1008, -216, 124
-1008, -203, 122
-1021, -194, 118
-1004, -186, 118
-996, -170, 103
-993, -139, 117
-1005, -105, 127
-1018, -101, 115
-1028, -96, 116
-1009, -52, 112
-1009, -52, 112
-974, -13, 78
-952, 13, 62
-957, 28, 57
-955, 56, 66
-955, 56, 66
-943, 93, 80
-915, 95, 61
-891, 94, 42
-848, 101, 33
-848, 101, 33
-810, 126, 27
-801, 135, 29
-820, 103, 34
-821, 66, 60
-821, 66, 60
-792, 54, 48
-795, 78, 35
-785, 63, 24
-785, 63, 24
-788, 13, 29
-794, -6, 75
-833, 10, 115
-833, 10, 115
-860, 30, 139
-887, 5, 132
-924, -32, 114
-929, -28, 169
-970, 29, 224
-970, 29, 224
-996, 24, 167
-1045, -16, 119
-1120, -14, 154
-1194, 27, 200
-1242, 66, 205
-1207, 95, 201
-1207, 95, 201
-1230, 110, 192
-1313, 155, 206
-1349, 216, 209
-1289, 268, 216
-1199, 270, 201
-1136, 284, 180
-1105, 311, 187
-1071, 324, 192
-1003, 318, 213
-927, 280, 179
-927, 280, 179
-880, 272, 203
-856, 276, 239
-804, 251, 226
-759, 198, 200
-756, 156, 211
-759, 111, 259
-759, 111, 259
-750, 63, 279
-732, -21, 233
-743, -82, 252
-803, -114, 327
-807, -136, 382
-803, -174, 386
-789, -215, 414
-812, -228, 468
-812, -228, 468
-860, -273, 459
-858, -292, 386
-868, -292, 300
-868, -251, 342
-908, -241, 454
-925, -249, 472
-901, -215, 452
-897, -153, 469
-943, -138, 501
-1007, -189, 493
-1003, -223, 454
-1009, -179, 484
-1064, -110, 479
-1064, -110, 479
-1106, -67, 534
-1071, -74, 583
-1061, -45, 518
-1092, 8, 467
-1149, 49, 529
-1153, 40, 564
-1080, 48, 558
-999, 85, 550
-999, 85, 550
-1020, 138, 525
-1066, 139, 495
-1052, 114, 478
-985, 137, 457
-950, 218, 486
-939, 258, 418
-915, 258, 405
-915, 258, 405
-893, 246, 426
-862, 247, 399
-804, 255, 399
-771, 259, 424
-801, 265, 452
-832, 265, 489
-872, 238, 490
-872, 238, 490
-859, 208, 466
-819, 182, 404
-844, 164, 399
-883, 126, 414
-907, 87, 441
-,-,-
-970, -284, 20
-967, -281, 57
-967, -281, 57
-984, -263, 59
-1000, -279, 67
-1001, -309, 59
-1001, -319, 63
-1008, -292, 81
-1016, -266, 63
-984, -270, 42
-979, -260, 51
-979, -260, 51
-995, -234, 68
-999, -210, 61
-1011, -205, 67
-1022, -194, 54
-1022, -153, 48
-996, -115, 59
-996, -85, 33
-996, -85, 33
-975, -59, 21
-962, -33, 49
-978, -1, 62
-973, 24, 48
-973, 24, 48
-947, 47, 31
-925, 90, 27
-886, 109, -1
-867, 114, -45
-867, 114, -45
-866, 106, -39
-865, 78, 2
-859, 72, 52
-852, 91, 15
-852, 91, 15
-805, 109, -23
-769, 92, -17
-786, 45, 25
-824, 37, 78
-824, 37, 78
-847, 87, 78
-825, 64, 16
-828, -12, 14
-828, -12, 14
-828, -44, 114
-878, -5, 155
-921, 26, 120
-989, 10, 131
-989, 10, 131
-1033, -33, 182
-1048, -55, 230
-1076, -28, 230
-1118, 6, 201
-1196, 6, 183
-1226, 5, 222
-1226, 5, 222
-1214, 49, 291
-1212, 118, 273
-1227, 187, 205
-1196, 216, 214
-1177, 213, 265
-1185, 233, 292
-1149, 275, 276
-1067, 289, 223
-991, 292, 238
-991, 292, 238
-932, 299, 269
-896, 286, 260
-905, 252, 228
-874, 222, 216
-844, 191, 215
-808, 146, 201
-808, 146, 201
-811, 127, 252
-807, 99, 301
-795, 66, 332
-764, 11, 325
-745, -75, 281
-745, -75, 281
-757, -123, 311
-784, -157, 367
-763, -174, 377
-754, -214, 374
-761, -291, 390
-818, -359, 362
-852, -343, 444
-835, -284, 478
-865, -279, 455
-945, -337, 529
-958, -386, 544
-958, -386, 544
-899, -371, 490
-858, -292, 525
-953, -303, 505
-990, -317, 555
-995, -289, 615
-952, -212, 605
-999, -140, 568
-1099, -97, 581
-1141, -90, 566
-1058, -80, 528
-1040, 5, 533
-1040, 5, 533
-1088, 65, 500
-1136, 73, 505
-1120, 87, 585
-1099, 116, 607
-1089, 163, 552
-1068, 207, 499
-1027, 229, 483
-1027, 229, 483
-970, 253, 479
-896, 254, 440
-846, 247, 401
-810, 240, 403
-805, 233, 404
-798, 240, 443
-838, 232, 496
-838, 232, 496
-863, 215, 492
-870, 205, 470
-851, 169, 430
-,-,-
-853, -274, 14
-852, -283, -33
-935, -338, -29
-976, -400, 15
-990, -395, 57
-956, -390, 60
-956, -383, 53
-977, -370, 35
-977, -370, 35
-994, -357, 55
-999, -343, 65
-978, -320, 41
-982, -288, 10
-984, -250, 9
-957, -219, 5
-957, -219, 5
-955, -187, 14
-975, -100, 9
-975, -52, -50
-971, -59, -68
-965, -33, -48
-965, -33, -48
-958, 43, -54
-939, 106, -75
-924, 126, -65
-918, 120, -57
-902, 145, -57
-865, 167, -75
-865, 167, -75
-839, 148, -65
-823, 112, -31
-840, 111, 4
-810, 122, -30
-742, 119, -37
-728, 40, -29
-728, 40, -29
-757, 4, 18
-809, 51, 46
-764, 59, 10
-764, 59, 10
-762, -35, -21
-823, -72, 91
-863, -19, 149
-861, 22, 132
-915, 22, 88
-915, -51, 88
-979, -118, 173
-1014, -66, 255
-1085, 8, 239
-1131, -48, 127
-1242, -85, 145
-1324, -57, 252
-1324, -57, 252
-1377, 16, 262
-1353, 116, 216
-1325, 129, 119
-1314, 152, 150
-1299, 205, 238
-1233, 234, 251
-1127, 257, 219
-1025, 278, 213
-968, 276, 205
-933, 243, 197
-933, 243, 197
-898, 190, 185
-847, 159, 167
-798, 156, 149
-752, 148, 165
-748, 101, 206
-768, 45, 236
-768, 45, 236
-756, 23, 278
-739, -19, 302
-747, -130, 279
-772, -226, 269
-778, -226, 336
-782, -214, 432
-809, -255, 474
-809, -255, 474
-874, -347, 468
-898, -366, 511
-924, -355, 477
-916, -313, 441
-936, -304, 472
-1031, -314, 498
-1021, -298, 497
-974, -247, 484
-990, -183, 494
-1028, -158, 514
-1057, -162, 536
-1044, -157, 476
-1053, -91, 478
-1065, -30, 534
-1070, -32, 524
-1070, -32, 524
-1059, 3, 496
-1079, 61, 459
-1100, 122, 454
-1106, 157, 488
-1092, 192, 477
-1053, 247, 472
-998, 287, 443
-921, 283, 394
-921, 283, 394
-883, 265, 368
-859, 267, 364
-874, 283, 401
-872, 273, 419
-881, 259, 442
-876, 241, 431
-876, 241, 431
-,-,-
-836, -213, -5
-841, -222, 16
-871, -254, 39
-878, -304, 64
-938, -309, 63
-950, -274, 62
-950, -274, 62
-940, -308, 31
-946, -360, 39
-942, -358, 17
-958, -282, -6
-945, -258, -6
-974, -273, 13
-974, -273, 13
-1008, -232, 31
-1016, -156, 22
-999, -131, 11
-991, -134, 3
-1024, -95, 3
-1043, -29, 4
-1043, -29, 4
-1038, 30, -5
-1003, 50, -22
-994, 65, -35
-965, 99, -43
-923, 122, -49
-923, 122, -49
-905, 122, -40
-897, 130, -37
-856, 155, -28
-791, 168, -30
-742, 154, -51
-723, 110, -72
-744, 62, -50
-744, 62, -50
-726, 51, 0
-735, 49, -12
-717, 19, -36
-717, 19, -36
-743, -14, -4
-767, -22, 69
-801, 28, 76
-859, 52, 63
-859, 52, 63
-908, -11, 55
-997, -68, 131
-1095, -22, 161
-1093, 13, 100
-1065, -33, 114
-1163, -19, 182
-1163, -19, 182
-1296, 57, 261
-1345, 122, 280
-1330, 129, 203
-1303, 138, 161
-1281, 162, 178
-1287, 207, 198
-1242, 281, 208
-1166, 295, 184
-1132, 271, 165
-1103, 256, 173
-1103, 256, 173
-1062, 261, 182
-978, 252, 164
-887, 235, 143
-859, 214, 135
-850, 196, 151
-827, 157, 162
-778, 111, 177
-736, 64, 160
-736, 64, 160
-744, 41, 168
-746, -17, 177
-731, -67, 230
-746, -105, 278
-761, -140, 289
-762, -199, 268
-762, -199, 268
-725, -260, 284
-750, -296, 379
-832, -247, 479
-896, -253, 437
-846, -310, 361
-855, -311, 416
-938, -271, 492
-973, -242, 506
